event_id,event_date,event_title,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude
6889,03/15/2015 12:00:00 AM,Bandibala,Bandibala,5km,landslide,continuous_rain,medium,unknown,0,0,,,glc,6889,India,IN,Kashmir,14711,Kupwāra,12.18347,74.3836,34.0786
3889,08/07/2011 07:00:00 AM,On the Manali highway near Mandi,On the Manali highway near Mandi,50km,landslide,downpour,medium,unknown,0,,,,glc,3889,India,IN,Himachal Pradesh,28217,Mandi,0.2763,76.9316,31.7083
5733,12/29/2013 04:00:00 PM,"Gardner Street, Dundee","Gardner Street, Dundee",exact,landslide,downpour,small,retaining_wall,0,0,,,glc,5733,United Kingdom,GB,Scotland,151592,Dundee,1.40644,-2.9977,56.4679
9487,08/27/2016 02:30:00 PM,Granite Creek,Granite Creek,25km,rock_fall,earthquake,medium,natural_slope,0,0,,,glc,9487,United States,US,Wyoming,9577,Jackson,29.49294,-110.4327,43.3672
5985,04/07/2014 09:00:00 AM,"Vestavia Hills, Alabama","Vestavia Hills, Alabama",5km,mudslide,downpour,small,above_road,0,0,,,glc,5985,United States,US,Alabama,34033,Vestavia Hills,0.90573,-86.7896,33.4407
584,06/13/2008 10:20:00 AM,"Shang'an village, Luliang, Shanxi Province","Shang'an village, Luliang, Shanxi Province",50km,landslide,rain,large,unknown,12,,,,glc,584,China,CN,Shanxi Sheng,0,Gedong,18.02727,111.3054,37.7356
8832,01/17/2011 04:42:00 PM,"US 26, milepost 40","US 26, milepost 40",exact,landslide,unknown,unknown,above_road,0,0,,,glc,8832,United States,US,Oregon,4864,Mount Hood Village,0.72231,-121.9736,45.3512
6587,12/22/2014 11:00:00 PM,"Moromaule, 20km south of Kundiawa","Moromaule, 20km south of Kundiawa",25km,landslide,continuous_rain,medium,above_road,0,0,,,glc,6587,Papua New Guinea,PG,Chimbu,9383,Kundiawa,14.97856,145.0722,-6.1014
5673,12/03/2013 08:30:00 PM,"Longnan, Gansu","Longnan, Gansu",50km,landslide,unknown,medium,unknown,10,21,,,glc,5673,China,CN,Gansu Sheng,0,Dongjiang,3.56691,104.9219,33.4005
8553,11/20/2012 07:03:00 AM,"US 101, milepost 332","US 101, milepost 332",exact,landslide,unknown,unknown,above_road,0,0,,,glc,8553,United States,US,Oregon,2253,Gold Beach,4.48562,-124.4188,42.367
4053,11/22/2011 12:00:00 AM,"Catanzaro,Calabria, Sicily","Catanzaro,Calabria, Sicily",5km,landslide,downpour,medium,unknown,0,,,,glc,4053,Italy,IT,Calabria,2666,Siano,1.38974,16.5877,38.9102
8551,11/20/2012 09:11:00 AM,"OR 62, milepost 34","OR 62, milepost 34",exact,landslide,unknown,unknown,above_road,0,0,,,glc,8551,United States,US,Oregon,2904,Shady Cove,17.78932,-122.6169,42.6798
7938,09/03/2015 12:00:00 AM,Mechi Highway,Mechi Highway,10km,landslide,unknown,medium,above_road,0,0,,,glc,7938,Nepal,NP,Eastern Region,17491,Ilām,3.47548,87.9172,26.8797
6525,08/18/2014 12:00:00 AM,Yamunotri route,Yamunotri route,50km,landslide,downpour,medium,above_road,0,0,,,glc,6525,India,IN,Uttarakhand,17123,Uttarkāshi,29.28035,78.4594,30.9936
2764,11/27/2010 11:00:00 PM,"Cota 905, west Caracas","Cota 905, west Caracas",5km,landslide,downpour,medium,unknown,0,,,,glc,2764,Venezuela,VE,Distrito Federal,3000000,Caracas,4.58994,-66.9211,10.4867
1209,10/02/2009 12:00:00 AM,National Highway 17 between Karwar and Ankola (,National Highway 17 between Karwar and Ankola (,25km,landslide,downpour,medium,unknown,,,,,glc,1209,India,IN,Karnataka,14540,Ankola,10.16166,74.2566,14.7395
6001,04/27/2014 12:00:00 AM,"Silver Falls State Park, Oregon","Silver Falls State Park, Oregon",25km,landslide,rain,small,natural_slope,0,0,,,glc,6001,United States,US,Oregon,1161,Lyons,10.9698,-122.6445,44.871
